"Story","Title","Result","Date","Stability","Duration (s)"
"Categories Functionality","Verify user should able to access categories information","SUCCESS","2022-01-25T17:55:44.959Z[Europe/London]","0.0","2.04"
"Categories Functionality","Create new category and verify if the category is added","SUCCESS","2022-01-25T17:55:47.651Z[Europe/London]","0.0","0.42"
"Categories Functionality","Update the category information and verify if category is updated","SUCCESS","2022-01-25T17:55:48.089Z[Europe/London]","0.0","0.04"
"Categories Functionality","I delete the store and verify category is deleted successfully","SUCCESS","2022-01-25T17:55:48.144Z[Europe/London]","0.0","0.09"
"Products Functionality","Verify user should be able to access Products on Best Buy application","SUCCESS","2022-01-25T17:55:48.249Z[Europe/London]","0.0","0.18"
"Products Functionality","Create a new Product & verify if the product is added","SUCCESS","2022-01-25T17:55:48.458Z[Europe/London]","0.0","0.09"
"Products Functionality","Updating the product created and verify it is updated with status 200","SUCCESS","2022-01-25T17:55:48.582Z[Europe/London]","0.0","0.04"
"Products Functionality","Verify user should able to delete the product","SUCCESS","2022-01-25T17:55:48.661Z[Europe/London]","0.0","0.05"
"Services Functionality","Verify user should able to access stores information","SUCCESS","2022-01-25T17:55:48.743Z[Europe/London]","0.0","0.04"
"Services Functionality","Create a new Service and verify if the Service is added","SUCCESS","2022-01-25T17:55:48.820Z[Europe/London]","0.0","0.06"
"Services Functionality","Update the Service information and verify if Service is updated","SUCCESS","2022-01-25T17:55:48.912Z[Europe/London]","0.0","0.06"
"Services Functionality","I delete the Service and verify Service is deleted successfully","SUCCESS","2022-01-25T17:55:49.006Z[Europe/London]","0.0","0.03"
"Stores Functionality","Verify user should able to access stores information","SUCCESS","2022-01-25T17:55:49.065Z[Europe/London]","0.0","0.05"
"Stores Functionality","Create a new store and verify if the store is added","SUCCESS","2022-01-25T17:55:49.173Z[Europe/London]","0.0","0.07"
"Stores Functionality","Update the store information and verify if store is updated","SUCCESS","2022-01-25T17:55:49.274Z[Europe/London]","0.0","0.05"
"Stores Functionality","I delete the store and verify store is deleted successfully","SUCCESS","2022-01-25T17:55:49.365Z[Europe/London]","0.0","0.03"
